,text,neg,neu,pos,compound,len
985,amctalkingdead sure scari coronavirusoutbreak eugen seem like might get heartbroken catfish thewalkingdead,,,,,
986,100 countri seemingli irrelev stoog drtedro still declar pandem pay idiot keep lid econom consider trump human health consider whoisirrelev coronaviru covid covid2019 coronavirusoutbreak,,,,,
987,pm narendramodi may cancel dhaka visit 3 coronaviru case report bangladesh coronavirusoutbreak coronaalert coronaoutbreak coronavirusupd modi breakingnew updat,,,,,
988,break view novel coronaviru outbreak worldwid detect posit case neighbour state karnataka govern order holiday children lower upper kindergarten class bengaluru coronavirusoutbreak,,,,,
989,live bogota precis emerg covid 19 forc expos impos measur lead use transport system exist exit yellow alert claudialopez must evalu,,,,,
990,play plagueinc irl coronavirusoutbreak,,,,,
991,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
992,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
993,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
994,covid19 coronavirusoutbreak covid19,,,,,
995,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
996,agre virus technic even live thing move spread attack infect kill meet criteria live thing come mar definit napalm ope gaslight coronavirusoutbreak,,,,,
997,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
998,help xi jinp cover outbreak silenc whistleblow li wenliang coronaviru coronavid19 covid2019 coronavirususa sarscov2 coronavirusoutbreak coverup,,,,,
999,coronaviru updat new case coronaviru report around australia two addit school close australia chief medic offic professor brendan murphi speak melbourn latest covid 19 7new,,,,,
